騎手名,コース,1着,2着,3着,4着以下,単勝回収率,複勝回収率,単勝平均,単勝標準偏差,複勝平均,複勝標準偏差
山本,中京芝3000m,1,1,1,5,0.33,0.56,2.6,0.0,1.5,0.5
山本,中京芝3330m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
山本,中山芝2880m,0,2,1,4,0.0,0.47,0.0,0.0,1.1,0.0
山本,中山芝3200m,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
山本,中山芝3210m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
山本,京都芝2910m,0,1,0,5,0.0,0.75,0.0,0.0,4.5,0.0
山本,京都芝3170m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
山本,新潟芝2850m,0,0,1,2,0.0,1.43,0.0,0.0,4.3,0.0
山本,新潟芝2890m,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0
山本,新潟芝3250m,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
山本,新潟芝3290m,0,0,1,0,0.0,12.7,0.0,0.0,12.7,0.0
山本,東京芝3000m,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
山本,東京芝3100m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
山本,東京芝3110m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
山本,福島芝2750m,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0
山本,福島芝2770m,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0
山本,福島芝3380m,0,1,0,1,0.0,1.85,0.0,0.0,3.7,0.0
山本,阪神芝2970m,0,0,1,0,0.0,4.6,0.0,0.0,4.6,0.0
山口勲,小倉芝1200m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
山口勲,小倉芝1800m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
中村将,中京ダート1200m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
中村将,中京芝3000m,1,1,2,14,0.12,0.46,2.1,0.0,2.05,0.9
中村将,中京芝3300m,1,0,0,5,0.75,0.28,4.5,0.0,1.7,0.0
中村将,中京芝3330m,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0
中村将,中京芝3900m,0,0,1,0,0.0,1.1,0.0,0.0,1.1,0.0
中村将,中山芝2880m,3,0,2,20,1.13,0.54,9.43,5.19,2.72,1.4
中村将,中山芝3200m,2,0,0,5,3.23,0.66,11.3,7.8,2.3,1.0
中村将,中山芝3210m,0,1,0,3,0.0,1.6,0.0,0.0,6.4,0.0
中村将,中山芝3350m,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0
中村将,中山芝3570m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
中村将,中山芝4250m,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0
中村将,中山芝4260m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
中村将,京都ダート1200m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
中村将,京都芝2910m,2,0,1,9,0.44,0.45,2.65,0.05,1.8,0.51
中村将,京都芝3170m,0,0,1,5,0.0,0.37,0.0,0.0,2.2,0.0
中村将,京都芝3930m,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
中村将,小倉芝2860m,8,6,6,74,0.58,0.46,6.76,10.88,2.18,1.75
中村将,小倉芝3390m,0,1,0,16,0.0,0.11,0.0,0.0,1.9,0.0
中村将,新潟芝2850m,3,3,4,28,1.24,0.83,15.67,5.15,3.17,3.36
