騎手名,コース,1着,2着,3着,4着以下,単勝回収率,複勝回収率
山本,中京芝3000m,1,1,1,5,0.33,0.56
山本,中京芝3330m,0,0,0,1,0.0,0.0
山本,中山芝2880m,0,2,1,4,0.0,0.47
山本,中山芝3200m,0,0,0,2,0.0,0.0
山本,中山芝3210m,0,0,0,1,0.0,0.0
山本,京都芝2910m,0,1,0,5,0.0,0.75
山本,京都芝3170m,0,0,0,1,0.0,0.0
山本,新潟芝2890m,0,0,0,6,0.0,0.0
山本,新潟芝3250m,0,0,0,1,0.0,0.0
山本,新潟芝3290m,0,0,1,0,0.0,12.7
山本,東京芝3000m,0,0,0,2,0.0,0.0
山本,東京芝3100m,0,0,0,1,0.0,0.0
山本,東京芝3110m,0,0,0,1,0.0,0.0
山本,福島芝2750m,0,0,0,4,0.0,0.0
山本,福島芝2770m,0,0,0,4,0.0,0.0
山本,福島芝3380m,0,1,0,1,0.0,1.85
山本,阪神芝2970m,0,0,1,0,0.0,4.6
山口勲,小倉芝1200m,0,0,0,1,0.0,0.0
山口勲,小倉芝1800m,0,0,0,1,0.0,0.0
中村将,中京ダート1200m,0,0,0,1,0.0,0.0
中村将,中京芝3000m,1,1,2,14,0.12,0.46
中村将,中京芝3300m,1,0,0,5,0.75,0.28
中村将,中京芝3330m,0,0,0,5,0.0,0.0
中村将,中京芝3900m,0,0,1,0,0.0,1.1
中村将,中山芝2880m,3,0,2,20,1.13,0.54
中村将,中山芝3200m,2,0,0,5,3.23,0.66
中村将,中山芝3210m,0,1,0,3,0.0,1.6
中村将,中山芝3350m,0,0,0,4,0.0,0.0
中村将,中山芝3570m,0,0,0,1,0.0,0.0
中村将,中山芝4250m,0,0,0,3,0.0,0.0
中村将,中山芝4260m,0,0,0,1,0.0,0.0
中村将,京都ダート1200m,0,0,0,1,0.0,0.0
中村将,京都芝2910m,2,0,1,8,0.48,0.49
中村将,京都芝3170m,0,0,1,5,0.0,0.37
中村将,京都芝3930m,0,0,0,2,0.0,0.0
中村将,小倉芝2860m,8,6,6,74,0.58,0.46
中村将,小倉芝3390m,0,1,0,16,0.0,0.11
中村将,新潟芝2850m,1,2,2,16,0.94,0.48
中村将,新潟芝2890m,0,3,3,21,0.0,0.67
中村将,新潟芝3250m,0,0,0,4,0.0,0.0
中村将,新潟芝3290m,0,0,0,3,0.0,0.0
中村将,東京ダート1400m,0,0,0,1,0.0,0.0
中村将,東京芝3000m,0,0,0,12,0.0,0.0
中村将,東京芝3100m,0,1,0,2,0.0,5.2
中村将,東京芝3110m,1,0,0,8,0.39,0.17
中村将,福島芝2750m,1,3,0,22,0.06,0.26
中村将,福島芝2770m,0,1,1,11,0.0,1.1
中村将,福島芝3380m,0,1,0,5,0.0,0.23
中村将,阪神芝2970m,2,3,3,25,0.21,0.85
中村将,阪神芝3110m,1,2,0,11,7.54,1.64
中村将,阪神芝3140m,0,0,1,5,0.0,0.7
中村将,阪神芝3900m,0,0,0,3,0.0,0.0
長江慶,中京ダート1400m,0,0,0,1,0.0,0.0
長江慶,中京芝2000m,0,0,0,1,0.0,0.0
北村友,中京ダート1200m,2,2,1,25,0.28,0.59
北村友,中京ダート1400m,5,6,2,55,1.03,0.48
北村友,中京ダート1800m,6,7,5,46,0.48,0.55
北村友,中京ダート1900m,1,0,0,10,0.26,0.2
北村友,中京芝1200m,2,2,5,22,0.36,0.82
北村友,中京芝1400m,4,4,3,32,1.09,0.98
北村友,中京芝1600m,5,2,2,46,1.58,0.56
北村友,中京芝2000m,5,7,6,40,0.45,0.6
北村友,中京芝2200m,0,3,3,20,0.0,0.49
北村友,中京芝3000m,0,0,0,3,0.0,0.0
北村友,中山ダート1200m,1,1,1,14,3.51,1.08
北村友,中山ダート1800m,1,1,0,14,1.42,0.29
北村友,中山芝1200m,0,1,1,3,0.0,1.36
北村友,中山芝1600m,0,0,0,8,0.0,0.0
北村友,中山芝1800m,0,0,0,7,0.0,0.0
北村友,中山芝2000m,1,1,0,11,0.58,0.23
北村友,中山芝2200m,0,0,0,4,0.0,0.0
北村友,中山芝2500m,2,0,1,5,0.81,1.06
北村友,中山芝3600m,1,0,0,2,1.2,0.57
北村友,京都ダート1200m,7,3,3,49,0.56,0.44
北村友,京都ダート1400m,5,4,9,51,1.09,0.82
北村友,京都ダート1800m,2,8,3,66,0.09,0.32
北村友,京都ダート1900m,1,0,3,16,0.83,0.63
北村友,京都芝1200m,0,2,0,19,0.0,0.21
北村友,京都芝1400m,3,6,6,36,0.24,0.68
北村友,京都芝1600m,6,6,2,64,0.42,0.39
北村友,京都芝1800m,4,4,3,37,0.43,0.44
北村友,京都芝2000m,6,3,4,31,0.5,0.62
北村友,京都芝2200m,1,1,2,8,0.23,1.47
北村友,京都芝2400m,2,1,0,14,2.17,0.62
北村友,京都芝3000m,0,0,0,2,0.0,0.0
北村友,京都芝3200m,0,1,0,4,0.0,1.66
北村友,函館ダート1000m,1,0,0,5,0.97,0.33
北村友,函館ダート1700m,2,6,5,28,0.52,0.96
北村友,函館ダート2400m,1,1,0,2,1.0,1.1
北村友,函館芝1000m,0,0,0,1,0.0,0.0
北村友,函館芝1200m,3,4,2,38,0.32,0.46
北村友,函館芝1800m,2,2,2,22,0.2,1.04
北村友,函館芝2000m,1,3,1,15,0.45,1.19
北村友,函館芝2600m,1,0,0,4,0.32,0.22
北村友,小倉ダート1000m,0,0,1,5,0.0,0.42
北村友,小倉ダート1700m,4,6,7,67,0.4,0.81
北村友,小倉ダート2400m,0,1,0,1,0.0,1.15
北村友,小倉芝1200m,5,7,11,69,0.29,0.58
北村友,小倉芝1800m,7,5,10,41,0.75,0.97
北村友,小倉芝2000m,2,6,10,40,0.13,0.87
北村友,小倉芝2600m,0,2,2,12,0.0,1.03
北村友,新潟ダート1200m,2,2,2,12,2.83,1.29
北村友,新潟ダート1800m,5,3,0,27,0.59,0.39
北村友,新潟芝1000m,2,2,0,8,0.81,0.79
北村友,新潟芝1200m,1,1,0,7,0.86,0.47
北村友,新潟芝1400m,0,1,1,9,0.0,0.35
北村友,新潟芝1600m,2,2,0,19,0.67,0.32
北村友,新潟芝1800m,1,1,1,13,0.86,0.85
北村友,新潟芝2000m,1,1,0,15,0.28,0.22
北村友,新潟芝2200m,1,0,0,3,1.95,0.72
北村友,新潟芝2400m,0,0,1,2,0.0,0.87
北村友,札幌ダート1000m,3,0,1,9,1.13,0.48
北村友,札幌ダート1700m,9,3,1,41,0.56,0.43
北村友,札幌ダート2400m,0,0,0,3,0.0,0.0
北村友,札幌芝1200m,1,4,0,21,0.18,0.38
北村友,札幌芝1500m,0,1,5,13,0.0,1.09
北村友,札幌芝1800m,3,6,1,18,0.8,1.23
北村友,札幌芝2000m,2,2,2,21,2.37,2.02
北村友,札幌芝2600m,1,1,2,8,0.28,0.75
北村友,東京ダート1300m,0,0,0,3,0.0,0.0
北村友,東京ダート1400m,0,1,1,11,0.0,1.0
北村友,東京ダート1600m,2,1,1,18,1.14,0.49
北村友,東京ダート2100m,2,0,0,10,0.77,0.31
北村友,東京芝1400m,0,0,0,12,0.0,0.0
北村友,東京芝1600m,0,1,1,15,0.0,0.36
北村友,東京芝1800m,4,1,0,16,1.54,0.49
北村友,東京芝2000m,0,0,2,7,0.0,0.61
北村友,東京芝2300m,0,0,0,1,0.0,0.0
北村友,東京芝2400m,0,1,1,4,0.0,0.6
北村友,東京芝2500m,0,0,0,1,0.0,0.0
北村友,福島ダート1150m,0,1,0,3,0.0,0.47
北村友,福島ダート1700m,0,1,0,3,0.0,1.05
北村友,福島ダート2400m,0,0,0,1,0.0,0.0
北村友,福島芝1200m,0,0,0,3,0.0,0.0
北村友,福島芝1800m,1,0,1,7,0.14,0.29
北村友,福島芝2000m,0,0,0,5,0.0,0.0
北村友,阪神ダート1200m,7,7,6,44,0.83,0.67
北村友,阪神ダート1400m,9,5,10,64,0.9,0.73
北村友,阪神ダート1800m,4,7,4,73,0.15,0.38
北村友,阪神ダート2000m,0,0,0,14,0.0,0.0
北村友,阪神芝1200m,5,2,0,19,1.83,1.17
北村友,阪神芝1400m,5,5,8,42,1.39,1.11
北村友,阪神芝1600m,6,5,7,67,0.5,0.67
北村友,阪神芝1800m,7,6,4,45,0.98,0.59
北村友,阪神芝2000m,7,4,5,43,0.85,1.14
北村友,阪神芝2200m,3,4,2,18,0.36,0.77
北村友,阪神芝2400m,0,1,1,12,0.0,0.29
北村友,阪神芝2600m,0,0,0,3,0.0,0.0
北村友,阪神芝3200m,1,0,0,1,1.9,0.9
山田敬,新潟ダート1200m,0,1,0,1,0.0,4.1
山田敬,札幌芝1800m,0,0,0,1,0.0,0.0
山田敬,札幌芝2000m,0,0,0,1,0.0,0.0
山田敬,東京芝1800m,0,0,0,1,0.0,0.0
吉井章,阪神ダート1800m,0,0,0,1,0.0,0.0
吉井章,阪神芝1600m,1,0,0,1,6.65,1.65
矢野貴,中山ダート1200m,0,0,0,1,0.0,0.0
矢野貴,中山芝1600m,0,0,0,1,0.0,0.0
矢野貴,東京ダート1600m,0,0,0,1,0.0,0.0
矢野貴,東京ダート2100m,1,0,0,1,2.25,0.95
矢野貴,東京芝1600m,0,0,0,1,0.0,0.0
木幡初,中京ダート1200m,0,0,1,5,0.0,0.77
木幡初,中京ダート1400m,0,0,0,3,0.0,0.0
木幡初,中京ダート1800m,0,0,0,5,0.0,0.0
木幡初,中京ダート1900m,0,0,0,1,0.0,0.0
木幡初,中京芝1200m,0,0,0,1,0.0,0.0
木幡初,中京芝1600m,0,0,0,3,0.0,0.0
木幡初,中京芝2000m,0,0,0,2,0.0,0.0
木幡初,中山ダート1200m,3,0,6,93,1.15,0.41
木幡初,中山ダート1800m,4,2,5,79,2.37,1.01
木幡初,中山芝1200m,0,3,2,21,0.0,1.0
木幡初,中山芝1600m,0,0,1,12,0.0,0.12
木幡初,中山芝1800m,0,0,2,7,0.0,0.61
木幡初,中山芝2000m,0,1,0,15,0.0,1.1
木幡初,中山芝2200m,0,0,0,4,0.0,0.0
木幡初,京都ダート1200m,0,0,0,2,0.0,0.0
木幡初,京都ダート1400m,0,0,0,3,0.0,0.0
木幡初,京都ダート1800m,0,1,0,4,0.0,0.56
木幡初,京都ダート1900m,0,0,1,0,0.0,13.5
木幡初,京都芝1200m,1,0,0,1,3.0,1.05
木幡初,京都芝1600m,0,0,0,1,0.0,0.0
木幡初,京都芝1800m,0,0,0,2,0.0,0.0
木幡初,京都芝2200m,0,0,0,1,0.0,0.0
木幡初,京都芝2400m,0,0,0,1,0.0,0.0
木幡初,函館ダート1700m,0,0,0,1,0.0,0.0
木幡初,小倉ダート1000m,0,0,0,1,0.0,0.0
木幡初,小倉ダート1700m,0,0,0,2,0.0,0.0
木幡初,小倉ダート2400m,0,0,0,1,0.0,0.0
木幡初,小倉芝1200m,0,1,0,16,0.0,0.66
木幡初,小倉芝1800m,0,0,0,5,0.0,0.0
木幡初,新潟ダート1200m,1,0,0,23,1.63,0.31
木幡初,新潟ダート1800m,0,2,1,30,0.0,0.45
木幡初,新潟芝1000m,2,0,1,14,0.61,0.45
木幡初,新潟芝1200m,0,1,0,6,0.0,1.59
木幡初,新潟芝1400m,1,0,0,4,9.0,1.06
木幡初,新潟芝1600m,0,0,2,7,0.0,0.88
木幡初,新潟芝1800m,0,0,1,7,0.0,0.28
木幡初,新潟芝2000m,0,0,0,5,0.0,0.0
木幡初,新潟芝2400m,1,0,0,2,9.5,1.77
木幡初,札幌ダート1000m,0,0,0,1,0.0,0.0
木幡初,札幌ダート1700m,0,0,0,1,0.0,0.0
木幡初,東京ダート1300m,0,0,0,14,0.0,0.0
木幡初,東京ダート1400m,1,1,3,32,0.08,0.54
木幡初,東京ダート1600m,0,2,5,49,0.0,0.49
木幡初,東京ダート2100m,0,0,0,17,0.0,0.0
木幡初,東京芝1400m,0,0,1,14,0.0,0.07
木幡初,東京芝1600m,0,0,0,17,0.0,0.0
木幡初,東京芝1800m,0,0,0,8,0.0,0.0
木幡初,東京芝2000m,0,0,0,6,0.0,0.0
木幡初,東京芝2400m,0,0,0,4,0.0,0.0
木幡初,福島ダート1150m,0,1,1,16,0.0,0.46
木幡初,福島ダート1700m,2,1,0,23,1.01,0.38
木幡初,福島芝1200m,1,0,0,36,0.14,0.04
木幡初,福島芝1800m,0,0,1,20,0.0,1.31
木幡初,福島芝2000m,1,2,0,12,0.39,0.63
木幡初,福島芝2600m,0,0,0,1,0.0,0.0
木幡初,阪神ダート1200m,1,0,0,3,3.05,0.45
木幡初,阪神ダート1400m,0,0,0,2,0.0,0.0
木幡初,阪神ダート1800m,0,0,0,1,0.0,0.0
木幡初,阪神ダート2000m,0,0,0,1,0.0,0.0
木幡初,阪神芝1600m,0,1,0,2,0.0,3.03
木幡初,阪神芝1800m,0,0,0,1,0.0,0.0
木幡初,阪神芝2000m,0,0,0,1,0.0,0.0
岩部,中京ダート1200m,0,0,0,4,0.0,0.0
岩部,中京ダート1400m,0,0,0,3,0.0,0.0
岩部,中京ダート1800m,0,0,0,1,0.0,0.0
岩部,中京ダート1900m,0,1,0,1,0.0,3.0
岩部,中京芝1200m,0,0,0,1,0.0,0.0
岩部,中京芝2200m,0,0,0,2,0.0,0.0
岩部,中山ダート1200m,1,6,8,131,0.15,0.88
岩部,中山ダート1800m,0,1,2,63,0.0,0.16
岩部,中山ダート2500m,0,0,0,1,0.0,0.0
岩部,中山芝1200m,2,1,1,21,2.79,0.71
岩部,中山芝1600m,0,1,0,19,0.0,0.55
岩部,中山芝1800m,0,0,0,3,0.0,0.0
岩部,中山芝2000m,0,0,0,5,0.0,0.0
岩部,中山芝2200m,0,0,0,3,0.0,0.0
岩部,小倉芝1200m,0,0,0,3,0.0,0.0
岩部,新潟ダート1200m,0,0,0,15,0.0,0.0
岩部,新潟ダート1800m,0,0,0,7,0.0,0.0
岩部,新潟芝1000m,0,1,1,15,0.0,0.24
岩部,新潟芝1200m,0,0,0,8,0.0,0.0
岩部,新潟芝1400m,0,0,0,5,0.0,0.0
岩部,新潟芝1600m,0,0,0,4,0.0,0.0
岩部,新潟芝1800m,0,0,0,5,0.0,0.0
岩部,新潟芝2000m,0,0,0,4,0.0,0.0
岩部,新潟芝2200m,0,0,0,1,0.0,0.0
岩部,東京ダート1300m,2,0,0,28,2.81,0.39
岩部,東京ダート1400m,2,1,1,73,0.19,0.07
岩部,東京ダート1600m,1,0,1,52,0.32,0.1
岩部,東京ダート2100m,1,2,0,18,2.19,0.73
岩部,東京芝1400m,0,0,0,23,0.0,0.0
岩部,東京芝1600m,0,0,0,30,0.0,0.0
岩部,東京芝1800m,0,0,0,9,0.0,0.0
岩部,東京芝2000m,0,0,0,4,0.0,0.0
